pct_change_22,Indicator5_150,Indicator5_210,Indicator5_30,Indicator5_0,Indicator50_210,Indicator10_150,Indicator50_30,Indicator150_180,Indicator100_180,Indicator20_180,Indicator10_0,Indicator10_30,Indicator50_0,Indicator20_30,Indicator50_150,Indicator150_150,Indicator20_0,Indicator100_0,Indicator20_150,Indicator200_0,Indicator150_0,Indicator200_150,Indicator200_30,Indicator10_180,Indicator150_30,Indicator20_210,Indicator50_180,Indicator10_210,Indicator200_210,Indicator100_30,Indicator100_210,Indicator150_210,Indicator200_180
0,-0.388059679,-0.318881119,-0.379310345,-0.232744783,-0.38269549700000005,-0.327370573,-0.46022999299999995,-0.557792335,-0.549642917,-0.418670131,-0.187790149,-0.327370573,-0.472715361,-0.418670131,-0.472715361,-0.527526395,-0.28759119699999997,-0.539214605,-0.418670131,-0.512320299,-0.5263564279999999,-0.553621725,-0.553621725,-0.327370573,-0.5387842939999999,-0.332693881,-0.44495871299999995,-0.24414712800000002,-0.525988524,-0.5166666529999999,-0.46115299,-0.509803946,-0.553621725
1,0.38476948299999997,0.306818182,0.333333333,0.526315789,0.553178944,0.200692435,0.532438081,1.272480863,0.872385091,0.3597889,0.190972955,0.259889183,0.533509921,0.425219642,0.5779581739999999,1.3596098490000001,0.22837436600000002,0.682058188,0.232851959,1.2910901000000001,1.105012988,1.24639583,1.413682708,0.164032462,1.161892449,0.278869123,0.553178944,0.17832804300000002,1.301066366,0.7550105140000001,0.958729394,1.3596098490000001,1.29940469
2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
3,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
4,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.0858699068,0.0695221445,0.0791826308,0.0843400635,0.103986049,0.0586736675,0.1102964526,0.2033636886,0.1580031119,0.0864954478,0.0420847893,0.065251084,0.1118028091,0.0937655303,0.1167415038,0.2096818048,0.057329507,0.1356969769,0.0723913433,0.2003789332,0.1812632684,0.2000019505,0.2185893814,0.0546003372,0.1889640825,0.0679514448,0.1109041841,0.0469416856,0.2030060988,0.1412974629,0.1577647093,0.2077126438,0.2058918238
